date,price
2019-02-05 02:28:00,308.95
2019-02-05 23:20:00,302.09
2019-02-06 02:26:00,308.95
2019-02-06 13:46:00,302.09
2019-02-06 14:48:00,308.95
2019-02-06 23:52:00,302.09
2019-02-07 06:04:00,308.95
2019-02-07 20:56:00,304.99
2019-02-07 21:56:00,298.76
2019-02-08 01:02:00,302.79
2019-02-08 04:08:00,308.95
2019-02-09 22:00:00,302.79
2019-02-09 23:00:00,308.95
2019-02-10 02:20:00,302.79
2019-02-10 04:32:00,308.95
2019-02-10 23:18:00,302.79
2019-02-11 05:38:00,308.95
2019-02-11 18:10:00,302.97
2019-02-11 19:14:00,308.95
2019-02-12 18:48:00,302.97
2019-02-13 00:56:00,308.95
2019-02-13 16:24:00,302.97
2019-02-13 17:52:00,308.95
2019-02-14 00:16:00,304.99
2019-02-14 01:20:00,308.95
2019-02-14 17:44:00,299.87
2019-02-14 18:44:00,308.95
2019-02-14 21:56:00,299.87
2019-02-15 02:10:00,302.79
2019-02-15 04:20:00,299.87
2019-02-15 05:16:00,308.95
2019-02-15 23:08:00,302.0
2019-02-16 03:06:00,308.95
2019-02-16 18:06:00,308.88
2019-02-19 20:56:00,302.79
2019-02-19 21:20:00,308.88
2019-02-19 21:48:00,308.85
2019-02-20 16:10:00,302.79
2019-02-20 17:16:00,308.85
2019-02-20 20:06:00,299.87
2019-02-20 21:12:00,308.85
2019-02-21 01:16:00,303.79
2019-02-21 01:52:00,308.85
2019-02-21 02:22:00,303.79
2019-02-21 03:30:00,308.85
2019-02-21 10:08:00,303.03
2019-02-21 13:48:00,308.85
2019-02-21 13:56:00,303.03
2019-02-21 14:44:00,308.85
